TimeSlice,Yr,Month,Day,Attribute,PSET_PN,AFE_ETH,AFE_KEN,AFN_DZA,AFN_EGY,AFN_MAR,AFN_TUN,AFO,AFW_NGA,AFW_SEN,ANZ_AUS,ANZ_NZL,ARG_ARG,ASA_PHL,ASA_THA,ASA_VNM,ASC_KAZ,ASE_MNG,ASE_TWN,ASO,ASS_BGD,ASS_LKA,ASS_PAK,ASW_AZE,ASW_CYP,ASW_GEO,ASW_ISR,ASW_JOR,ASW_KWT,ASW_OMN,BRA_BRA,CAN_CAN,CHN_CHN,ENE_UKR,ENN_NOR,ENS_BIH,ENS_MKD,ENS_MNE,ENS_SRB,ENW_CHE,EUE_BGR,EUE_CZE,EUE_HUN,EUE_LTU,EUE_LVA,EUE_POL,EUE_ROU,EUN_DNK,EUN_EST,EUN_FIN,EUN_IRL,EUN_SWE,EUS_ESP,EUS_GRC,EUS_HRV,EUS_ITA,EUS_PRT,EUW_AUT,EUW_BEL,EUW_DEU,EUW_FRA,EUW_LUX,EUW_NLD,GBR_GBR,IDN_IDN,IND_IND,IRN_IRN,JPN_JPN,KOR_KOR,MEX_MEX,RUS_RUS,SAC_CRI,SAC_CUW,SAC_DOM,SAC_GTM,SAC_HND,SAC_JAM,SAC_NIC,SAC_PAN,SAC_SLV,SAO,SAS_BOL,SAS_CHL,SAS_COL,SAS_ECU,SAS_PER,SAS_URY,SAU_SAU,TUR_TUR,USA_USA,ZAF_ZAF
M01D01,2090,1,1,RNW,ELE_WIN,33.1932,34.8461125,42.1845,43.40943846,35.51805455,44.9057,43.8555,37.9232,43.6877,39.12567736,41.87013077,39.83017727,39.08234444,37.9232,36.6969234,29.4523375,41.4574,30.69629524,44.26215,19.3936,37.36756923,19.3936,37.9232,37.9232,0,0,19.3936,33.1932,37.9232,42.66823799,38.47758344,37.70517672,35.29077143,41.8815069,43.05613333,0,40.88935,42.1845,43.6877,41.16167647,41.11065714,33.1932,42.189745,42.20083333,41.35885446,35.12846786,42.24397344,35.5582,35.09550367,41.936856,38.6320735,36.50933228,37.24442143,44.759048,43.38358489,26.711696,0,17.94866277,43.06140417,33.51269295,25.86117143,26.30200137,40.84981079,33.1932,31.30094958,35.2126,41.83538421,39.6757,39.05204681,42.03959259,42.94861429,19.8844,39.94274286,33.1932,41.3819,33.1932,45.2113,43.577,33.1932,36.55096667,19.3936,38.81990476,23.47553333,0,42.246575,29.14591304,37.9232,36.11263917,40.02937075,39.57190541
M01D02,2090,1,2,RNW,ELE_WIN,24.91344,26.8748625,45.518,38.52285385,44.34113077,44.4439,43.6877,41.4574,42.1845,35.30077009,39.55294615,41.43165789,40.29693333,33.1932,33.88561026,42.98703333,0,33.13095,40.05385,33.1932,42.76466923,30.79643077,41.4574,33.2908,0,35.5582,42.85153333,37.9232,33.1932,39.16364602,39.91934839,35.56577526,39.53102308,39.326676,19.3936,33.1932,31.62455,42.06331667,33.1932,41.01331,42.49047143,40.17223636,44.460835,45.54943333,30.08185918,40.08607679,42.302575,42.60051667,34.73900141,44.2382128,38.43248712,37.46740287,34.87060471,31.04149,35.1511892,43.86887449,35.39199369,42.28852766,39.7401721,39.61914073,45.3812,42.38730548,40.42648472,37.9232,30.37811062,34.01985,38.9748,38.15198974,41.7252451,34.682748,41.65448571,19.0575,36.57177143,33.1932,40.47998,37.9232,45.2113,43.6877,19.3936,36.87335,0,37.09205652,23.47553333,0,41.4574,40.61911471,43.8555,39.90001528,40.47191537,41.60409429
M01D03,2090,1,3,RNW,ELE_WIN,19.3936,27.67076667,45.5714,24.02939,29.230975,45.1276,44.9057,42.1845,44.100775,34.03449205,42.33060769,42.35197705,37.68004444,21.69353333,38.08535758,35.79381667,19.3936,35.51072727,37.9232,19.3936,43.46376923,36.29345882,19.3936,19.3936,0,19.3936,19.3936,33.1932,33.1932,39.17568314,40.76374185,34.00235421,41.75265,41.05099643,28.59333333,0,37.9232,42.32201667,0,42.68275882,36.9772,43.30824545,41.985955,41.4574,39.15382222,38.88119455,43.58910938,32.14807,27.88265962,44.0883464,33.47306548,40.29055862,42.76014583,38.54202609,38.82319254,40.30256837,42.56205856,40.38675957,31.08683851,41.56334882,39.30394286,41.59831849,42.09142427,33.1932,29.69314714,28.83406667,38.87134504,34.11978889,39.82917857,37.516844,41.65448571,16.9429,38.59131429,19.3936,40.04372,19.3936,45.6123,43.82753333,19.3936,35.43265,19.3936,34.70743333,22.64863333,0,41.639175,41.42892059,44.8366,32.96464504,42.13916493,39.73289677
M01D04,2090,1,4,RNW,ELE_WIN,19.3936,26.7482,44.8366,37.58836923,37.49687692,0,45.5714,42.1845,44.100775,39.09696117,43.11664615,44.83439825,33.90795556,20.533145,34.63837258,35.4209,39.6903,35.94753704,29.7433,0,42.38564615,44.94904118,41.4574,22.15352,0,0,0,42.1845,37.9232,38.83670653,37.95097849,35.86519438,41.180925,35.41798154,19.3936,33.1932,19.3936,38.82385,0,43.31755294,28.6584,19.3936,42.399615,43.18663333,33.89949817,33.04943784,33.38574453,43.73246364,37.61222807,43.6442744,39.88709756,38.8219035,37.15093846,33.37512,32.77287109,43.23097347,0,37.07878617,39.46127088,28.82351742,30.60188571,37.03029726,41.37486202,19.3936,30.34383671,0,38.07693388,39.8108225,38.55326957,37.330275,43.92715,21.5382,0,26.99056667,43.08642,33.1932,43.2351,44.73066667,42.1845,37.8843,42.68556667,38.62875476,26.65846667,0,38.80675,43.27223824,43.6877,37.88452899,40.3443293,43.14092432
M01D05,2090,1,5,RNW,ELE_WIN,19.3936,40.27933333,19.3936,45.17856923,43.6031,0,45.6123,42.1845,44.853875,43.22133761,26.08725385,41.29438421,36.01427778,29.814545,42.37105443,36.11548,33.1932,39.53591481,41.7662,0,42.38564615,41.26718824,33.1932,43.38706,0,28.6584,42.32662222,45.5714,37.9232,40.91360596,41.31121436,37.04084129,40.77840714,40.00084167,19.3936,0,0,0,0,41.85367647,34.84604,0,39.373235,42.1845,27.70007463,39.37907347,42.68927266,44.70976364,38.7131525,39.456964,37.43777088,39.8543474,31.52654468,30.24563158,26.3422,41.22131071,19.3936,32.95958608,41.30409709,40.64611852,0,38.14165915,38.61098517,19.3936,30.32445088,28.59333333,42.84716714,44.2062025,42.14199242,40.57215217,42.52955625,24.4442,28.95338571,36.7473,44.4185,44.8366,38.4675,45.26241667,42.1845,38.39166667,44.8366,39.19526667,37.824,0,35.25925,43.36100882,43.8555,38.51741435,38.70378359,40.33307027
M01D06,2090,1,6,RNW,ELE_WIN,19.3936,41.69976667,43.6877,40.89598,40.30827692,0,45.518,41.4574,45.072125,42.08678411,42.08332308,41.02120877,23.4162,38.0355,39.34578481,26.22537143,26.2934,40.09672963,43.031225,19.3936,41.6978,0,33.1932,41.18682,0,0,19.3936,33.1932,19.3936,42.33001189,39.85165476,33.92989035,37.84097692,38.0700625,0,0,0,0,0,19.3936,26.2934,0,40.920975,44.50956667,30.69373731,19.3936,42.95507266,45.29834545,34.1464437,42.1200232,34.56083247,32.48205048,43.40983333,21.414175,33.32405294,29.67483401,22.56998873,40.35254574,38.91612986,40.54196,43.09141429,40.26403973,36.34216652,37.9232,24.8898911,34.0466,42.46296286,44.11301,40.19448689,41.30832917,42.3593,15.1292,39.9629625,27.49163333,44.78588,45.5714,31.6793,44.62291667,42.1845,34.40026667,44.9057,41.548925,16.9429,0,35.816825,43.39022353,33.1932,34.85609252,38.19380095,39.77641818
M01D07,2090,1,7,RNW,ELE_WIN,33.1932,39.34363333,43.8555,27.59623077,37.26261667,0,44.9057,33.1932,43.8555,43.43981944,45.20297692,41.48818033,23.30575556,21.11855,37.77221493,38.05112857,41.82095,39.15573333,31.714725,33.1932,40.1421,42.59249412,19.3936,41.33224,0,0,0,33.1932,19.3936,36.78053652,37.13087286,34.88366903,19.3936,39.54992167,0,0,0,0,33.1932,0,34.6004,0,29.70489231,44.4997,28.00120882,0,40.64493125,44.32784545,44.79612049,43.0901672,39.52326372,41.63759349,36.44393273,0,23.77191579,43.28675408,34.80360494,40.98509149,39.95418796,42.90265165,44.25764286,34.05304247,26.94927838,41.4574,33.3807202,0,41.95079712,43.47883,39.81109286,31.31334,41.3467625,15.73376667,39.8061,26.7482,43.81722,42.1845,38.4675,45.44893333,41.4574,33.40723333,42.4432,39.44456585,23.47553333,0,37.9232,45.03709412,0,35.32863871,37.06786112,41.81795946
M01D08,2090,1,8,RNW,ELE_WIN,33.1932,26.48831429,33.1932,39.58126154,41.59955,43.8555,44.9057,19.3936,43.6877,42.77523611,34.18600769,38.18819123,28.0517,25.46933158,38.28230781,38.0638,41.4574,29.25821053,37.303825,0,24.026,44.70411176,0,42.33484,0,0,0,45.5714,42.1845,39.35300784,36.49807947,37.33194757,40.78675833,41.42971935,37.9232,0,41.41445,40.0136,33.1932,33.94174,41.33224,40.93000909,44.252895,44.07066667,44.1682442,28.43447143,37.18728594,41.80123636,44.77279836,30.13580118,43.88560045,34.53302624,30.53286111,40.39693478,43.02503771,36.90853148,43.82254775,33.74689759,40.08395039,42.83985195,31.19945714,40.69687534,40.87017636,33.1932,30.05591164,33.9641,41.61376074,43.13211795,41.33692,40.39317143,44.34811429,15.73376667,39.7114375,41.4574,43.1871,33.1932,41.1422,44.73066667,37.9232,33.15143333,42.49913333,27.92455429,22.64863333,0,23.80636,40.74601176,0,32.43908571,37.5115364,41.90916486
M01D09,2090,1,9,RNW,ELE_WIN,19.3936,34.76986667,0,33.6662,36.904525,42.68556667,45.5714,37.9232,43.72965,41.9898783,31.36636923,41.45531053,26.59537778,36.28588571,35.58966842,36.7031,26.2934,38.76822222,40.289825,0,23.63360769,44.73655882,19.3936,0,0,39.6903,44.47648889,44.9057,43.8555,39.74852609,35.24022061,34.10939477,40.98416923,39.12137931,0,0,0,0,19.3936,45.16387059,19.3936,0,41.722725,42.1845,34.91024559,41.42347843,42.09906953,45.42838182,44.08557541,41.7843352,38.64569909,40.46909885,37.69683949,0,32.18329026,41.79086939,0,39.39087979,26.34806932,42.54686865,31.2776,39.97787534,40.81171393,41.4574,32.97555113,13.0568,41.49960638,43.8416575,42.67860597,36.5165875,43.91189286,15.73376667,43.0090875,41.4574,43.77576,19.3936,41.1422,44.67308333,41.4574,33.29628333,41.69976667,37.33717407,22.64863333,0,42.5603,38.75904706,42.1845,39.18761982,33.59787585,41.59011667
M01D10,2090,1,10,RNW,ELE_WIN,19.3936,30.54668333,0,40.26741538,26.5208,44.20556667,44.9057,42.1845,43.6877,42.43443426,31.8141,45.02776667,23.43002222,33.98153333,39.59140926,33.84967778,36.34653333,29.09821579,36.7473,0,39.23153077,44.8035,19.3936,37.9232,33.1932,35.5582,31.80935,33.1932,42.1845,39.36762466,37.06238855,37.5560868,39.65553333,40.74525789,0,0,0,0,0,33.87592,41.39897143,19.3936,45.018655,44.9057,43.56656009,22.0877,37.90895625,44.83807273,43.19329672,42.4946696,37.0036642,39.84353499,40.29988462,32.46278421,30.81228843,42.80024337,32.47854811,42.50354787,43.70833377,42.51982872,45.156,44.04921986,41.71944472,42.1845,38.36085013,28.6768,38.91535714,39.75846154,41.54214516,42.97321481,43.97563571,17.64776667,38.699425,27.49163333,43.1871,33.1932,41.1422,44.67308333,43.6877,35.59645,23.99346667,37.97679556,20.7113,0,41.4574,40.43230882,45.5714,32.70467463,34.90976687,40.2067973
