TimeSlice,Yr,Month,Day,Attribute,PSET_PN,AFE_ETH,AFE_KEN,AFN_DZA,AFN_EGY,AFN_MAR,AFN_TUN,AFO,AFW_NGA,AFW_SEN,ANZ_AUS,ANZ_NZL,ARG_ARG,ASA_PHL,ASA_THA,ASA_VNM,ASC_KAZ,ASE_MNG,ASE_TWN,ASO,ASS_BGD,ASS_LKA,ASS_PAK,ASW_AZE,ASW_CYP,ASW_GEO,ASW_ISR,ASW_JOR,ASW_KWT,ASW_OMN,BRA_BRA,CAN_CAN,CHN_CHN,ENE_UKR,ENN_NOR,ENS_BIH,ENS_MKD,ENS_MNE,ENS_SRB,ENW_CHE,EUE_BGR,EUE_CZE,EUE_HUN,EUE_LTU,EUE_LVA,EUE_POL,EUE_ROU,EUN_DNK,EUN_EST,EUN_FIN,EUN_IRL,EUN_SWE,EUS_ESP,EUS_GRC,EUS_HRV,EUS_ITA,EUS_PRT,EUW_AUT,EUW_BEL,EUW_DEU,EUW_FRA,EUW_LUX,EUW_NLD,GBR_GBR,IDN_IDN,IND_IND,IRN_IRN,JPN_JPN,KOR_KOR,MEX_MEX,RUS_RUS,SAC_CRI,SAC_CUW,SAC_DOM,SAC_GTM,SAC_HND,SAC_JAM,SAC_NIC,SAC_PAN,SAC_SLV,SAO,SAS_BOL,SAS_CHL,SAS_COL,SAS_ECU,SAS_PER,SAS_URY,SAU_SAU,TUR_TUR,USA_USA,ZAF_ZAF
M01D01,2015,1,1,RNW,ELE_WIN,41.4574,38.397275,37.9232,40.57385,40.3308,45.3139,45.5714,19.3936,44.888425,32.19413226,34.50896667,42.35433115,27.73091111,33.7909,37.10225224,41.5785375,43.6877,40.22184706,35.94793333,0,41.89006154,43.56061765,44.9057,42.03908,37.9232,0,0,43.8555,45.5714,37.35948478,40.61143548,35.96402114,0,38.7192623,0,0,0,0,0,19.3936,43.28218571,19.3936,31.60447,44.50956667,41.49446875,19.3936,43.62406719,42.3984,32.92178462,41.1081912,42.60326864,38.18023129,32.70321135,19.3936,36.99714948,30.65174444,29.28299906,38.74438936,40.0238956,42.85045752,41.97675714,40.17075753,42.68522112,37.9232,31.16670538,33.1932,35.32623462,29.62411304,35.97281607,39.47371364,40.32219286,35.3232,32.1083,19.3936,40.47998,37.9232,45.2113,42.06331667,19.3936,40.40948333,0,39.03127381,46.09753333,0,37.614175,38.85352353,0,36.68412279,38.48939505,43.17596216
M01D02,2015,1,2,RNW,ELE_WIN,41.4574,36.292275,44.8366,19.3936,35.65341667,44.55563333,44.9057,19.3936,44.888425,39.439354,25.60203333,43.75465789,40.90147778,39.61555714,37.89608281,37.3809625,43.8555,27.341488,0,19.3936,38.33056923,45.44654118,41.4574,19.3936,0,26.2934,39.948925,43.8555,44.9057,33.73534376,42.50467354,38.09138907,39.6454,42.33342923,36.34653333,0,38.44045,0,0,44.89922353,38.07098571,27.27908571,44.865455,44.42746667,43.75005336,40.56465,39.94783438,37.67576,42.67760492,44.4478344,44.08775364,39.02842937,36.48457226,41.716512,27.41867787,37.220196,34.42567843,39.42347128,42.13393261,38.49628784,39.43785714,42.12146918,41.95109753,37.9232,34.24355528,0,36.66518584,38.05924211,29.39066721,39.39558182,36.83386429,42.6189,21.36497143,0,30.51136,19.3936,45.518,37.9232,0,43.88711667,0,36.64846444,47.1009,0,33.1932,37.65935294,43.6877,39.11851143,38.1191233,39.85857027
M01D03,2015,1,3,RNW,ELE_WIN,41.4574,37.0232125,33.1932,42.63396923,27.89763333,45.59866667,44.8366,33.1932,43.8555,43.77201524,25.65861538,43.47389649,40.88605556,25.453156,37.27048974,39.73674545,42.4432,39.44902963,37.9232,19.3936,33.51496923,42.23303529,44.8366,41.60282,0,37.9232,43.04246667,37.9232,42.1845,40.87095755,38.72778547,37.5790807,43.15083846,40.91170308,0,0,19.3936,0,19.3936,42.90945294,43.89977143,36.2032,44.750705,38.4675,44.67352723,42.49136304,40.87261328,36.75088182,43.19421148,42.8766456,42.52673909,38.14907017,32.63076917,0,37.15741216,34.555106,38.94429009,40.40090319,44.20563066,44.61006074,45.38347143,38.41056712,31.61976824,33.1932,32.53142668,30.43328,41.36454643,41.336115,36.69170625,39.4571037,37.9232,39.0744,19.3936,0,27.67336,0,43.6877,21.69353333,0,42.5009,0,35.10116957,47.1009,0,36.7407,38.49918438,43.8555,36.2980113,39.34115861,40.79660541
M01D04,2015,1,4,RNW,ELE_WIN,26.80544,36.0908625,33.1932,40.52799231,41.05858333,45.45136667,44.8366,37.9232,43.81355,42.11624545,40.2849,42.94403333,25.64648889,41.73552963,43.81240506,39.1182,33.1932,37.92622593,45.6123,0,0,19.3936,43.8555,45.20838,37.9232,28.6584,41.435925,45.5714,37.9232,39.06278074,39.29575978,39.34955401,29.12878462,39.69975968,0,0,42.1845,0,0,38.21172941,33.1932,0,45.014585,45.22283333,36.60377902,21.7098,32.6988125,44.52990909,39.37320656,43.389316,42.18728826,41.53122589,37.01560833,19.3936,42.42694479,30.82924012,0,35.52589681,36.14132466,41.4998644,19.3936,40.45091712,42.95913461,19.3936,35.87698278,28.36379,41.33804526,43.153185,34.11156167,42.49708148,33.1932,31.4227,29.25045714,0,0,0,42.1845,33.1932,0,40.99508333,0,38.04201429,46.09753333,0,35.94145,37.88029412,44.8366,38.61941188,39.99683851,37.70891111
M01D05,2015,1,5,RNW,ELE_WIN,33.1932,31.3962125,33.1932,39.39135,39.19648333,45.2113,44.9057,33.1932,43.81355,39.78477128,37.79673846,43.7398807,21.99401111,42.45835185,43.95934557,38.532625,25.57013333,36.67744074,36.3556,0,0,0,37.9232,30.43328,0,0,19.3936,44.9057,0,39.72268761,41.33020578,40.11406215,41.64065385,36.4677,0,33.1932,32.1151,40.01186667,0,41.385765,23.0709,0,45.386175,45.1098,41.61186759,40.13892245,41.84280781,43.42954545,26.77700122,29.93737692,41.9368297,40.3797897,38.67200608,33.63504783,35.69621471,32.44597,0,27.64892771,37.99234748,29.23194566,36.57177143,38.5680007,34.42109814,26.2934,28.05443534,35.0106,36.55367941,42.2705325,30.62774912,44.05400741,26.80544,25.55133333,33.86891429,0,0,0,43.6877,33.98153333,0,38.79578333,33.1932,40.18226667,44.22803333,0,29.7433,38.15776774,0,35.73178628,42.18994731,38.61385676
M01D06,2015,1,6,RNW,ELE_WIN,19.3936,39.10126667,19.3936,28.6584,41.58496154,45.518,43.6877,33.1932,42.1845,32.68379016,41.41445,43.22972281,28.50653333,36.23343846,40.21837089,39.03684444,33.1932,27.16178824,39.34363333,0,33.1932,31.87091765,41.4574,39.80456,0,0,35.25925,43.6877,0,39.72974569,38.20695889,38.57908795,43.3325,34.90598491,0,0,0,0,0,39.00188824,31.6816,39.26962727,44.316245,44.20556667,32.49431368,32.20975333,41.195304,42.79668182,23.40235593,25.07394146,40.90301187,33.97531868,32.63683875,30.39150952,41.13068347,33.19994118,38.99738807,30.45154848,29.84015539,31.29796819,0,24.15004167,33.02038698,41.4574,30.75773132,44.8756,31.65320526,39.84291842,32.10651633,44.73846667,36.9772,22.50686667,36.932325,0,0,19.3936,44.8366,21.69353333,0,37.74008333,38.94503333,40.91214828,41.4374,0,19.3936,37.68481034,41.4574,38.91273129,40.29199729,41.50945667
M01D07,2015,1,7,RNW,ELE_WIN,19.3936,33.1932,41.4574,40.49913846,43.18188462,39.10126667,37.9232,41.4574,40.57385,39.24940476,43.18155,40.60638596,31.49207778,42.46982222,43.94278354,42.3674,19.3936,36.42731852,35.70153333,0,33.13124615,41.71402353,41.4574,44.37704,0,0,37.9232,37.9232,37.9232,35.58433055,37.1432956,39.94679538,42.57976154,37.13108704,19.3936,33.1932,19.3936,19.3936,33.1932,41.2829,23.09952,19.3936,0,19.3936,33.98886131,43.32134151,33.33237955,19.3936,39.98624202,42.8750688,33.07338819,40.73505835,38.66123497,33.74250667,37.06246138,42.1851398,26.22077053,39.39615638,28.5408335,41.85569604,31.95331429,38.35026417,38.40374779,30.4255,34.17090922,0,32.572744,42.56390513,35.00690678,37.01997037,19.3936,25.55133333,32.62902857,0,0,0,43.8555,0,0,38.43998333,43.18663333,40.19285926,40.187,0,33.1932,39.16353824,19.3936,37.31065664,41.18557911,35.70788571
M01D08,2015,1,8,RNW,ELE_WIN,24.91344,28.6584,19.3936,41.88513077,44.45015385,44.0937,19.3936,41.4574,29.7433,37.40135238,44.08520833,42.59923684,37.02806667,43.37946667,44.15599114,37.35183333,35.5582,38.99081852,36.3556,37.9232,28.9875,35.69418824,33.1932,45.40622,0,40.05385,42.96897778,43.8555,0,36.80560246,41.39883904,36.74982281,45.34967692,40.59009831,36.34653333,0,37.9232,43.82753333,43.6877,42.48227647,45.23584286,43.71705455,33.11913684,42.68556667,38.08281128,34.95245385,37.54670625,39.93266667,36.20287212,37.66209545,37.52343155,43.21515764,35.81910313,41.22759583,40.84985944,40.84675051,44.88697768,41.01297234,42.84691969,40.96011292,43.25821429,42.9946,37.46940104,0,32.45622211,36.567775,33.81968378,40.5079325,41.59535,43.16081481,19.3936,35.3232,19.3936,0,0,0,42.1845,0,0,41.7384,37.5246,37.35231613,45.0326,0,29.7433,39.95551765,45.5714,35.64635394,35.42689395,34.40789688
M01D09,2015,1,9,RNW,ELE_WIN,37.9232,37.44648333,19.3936,41.38884,40.52584615,25.57013333,0,41.4574,33.1932,41.64159388,43.18654615,43.12053509,20.69138889,41.63586667,44.02762911,34.45691,35.5582,39.65048889,43.8555,33.1932,30.21858462,25.98342857,41.4574,39.80456,0,0,41.4574,44.9057,33.1932,41.50610041,39.32752917,32.9042588,36.17976667,41.51631692,33.1932,0,33.1932,33.1932,42.1845,41.42118235,38.70685,19.3936,27.62897778,25.57013333,41.49497604,26.49886757,34.40466484,33.13391429,37.70386091,43.8260024,38.71088213,40.8008831,30.46381678,24.79344348,39.68974483,41.05652245,32.43596735,40.82288404,40.25014391,43.32735093,42.83572857,40.8095863,38.69959437,19.3936,34.36089274,36.8272,39.95172121,41.822495,39.7289069,38.38700417,19.3936,43.42346667,0,26.99056667,26.80544,0,42.1845,0,42.1845,43.98506667,36.34653333,39.32329677,46.93393333,0,34.3757,42.78516765,41.4574,37.7827136,37.00347179,38.73307667
M01D10,2015,1,10,RNW,ELE_WIN,26.80544,29.16812857,44.8366,42.63548,37.40056154,36.69136667,41.4574,41.4574,43.130125,40.65095922,43.88106923,42.46576316,22.47488889,40.59541429,38.67735,36.90991,19.3936,36.99762941,37.9232,33.1932,43.51086923,19.3936,33.1932,33.1932,0,0,37.9232,43.6877,43.8555,40.69103347,35.50587059,32.50792354,37.78504615,37.27513279,34.1028,0,41.4574,43.4931,36.3556,41.67537647,44.81352857,42.39616364,40.27092941,25.57013333,40.6550808,26.53312222,13.80721406,43.37038182,30.16065495,44.203088,36.0867977,41.90071368,40.27154048,39.952108,36.2813617,40.29083929,41.92849478,41.8128883,40.48877949,45.30993882,45.07967143,42.46360822,42.49559303,33.1932,32.69471822,19.3936,38.8430125,34.81007692,41.48771364,42.51266667,36.40437857,42.6189,0,36.69136667,44.8366,42.1845,44.9057,42.1845,43.6877,43.09658333,23.99346667,37.51927931,47.1009,0,42.1845,41.7714,0,37.12002722,38.8570702,36.82128649
