time_slice,Attribute,Year,PSET_PN,US_IA,US_MN,US_NE,US_KS,US_CA,US_PA,US_TX,US_IN,US_OH,US_NC,US_NM,US_NH,US_MI,US_OK,US_NY,US_ND,US_SD,US_HI,US_WV,US_ID,US_OR,US_MA,US_WA,US_IL,US_MT,US_ME,US_RI,US_WI,US_MO,US_CO,US_TN,US_WY,US_VA,US_MD,US_VT,US_AZ,US_AL,US_UT,US_NV
M01D12,RNW,2015,ELE_WIN,0.44905668,0.455180066,0.452112691,0.44905668,,,0.455180066,0.421845416,0.331932241,0.193935677,0.448365909,,,0.44905668,0.379231768,0.455180066,0.384675303,,0.331932241,,,,,0.414573941,0.193935677,0.193935677,0.193935677,0.379231768,0.455180066,0.421845416,0.379231768,0.331932241,0.438554864,,,0.193935677,,0.193935677,
M01D13,RNW,2015,ELE_WIN,0.432351401,0.411422042,0.452112691,0.436876676,,0.44905668,0.379231768,0.456123208,0.444439221,0.438554864,0.379231768,,0.444439221,0.379231768,0.455714392,0.455180066,0.452112691,0.448365909,0.448365909,,,0.193935677,,0.456123208,0.379231768,,0.379231768,0.452112691,0.456123208,0.379231768,0.421845416,0.438554864,0.282125931,0.455714392,,0.414573941,,,
M01D14,RNW,2015,ELE_WIN,0.456123208,0.444439221,0.436876676,0.421845416,0.331932241,0.444439221,,0.452112691,0.444439221,0.455180066,0.331932241,0.436876676,0.411422042,0.379231768,0.411422042,0.436876676,0.436876676,0.448365909,0.455714392,,0.193935677,0.421845416,0.455180066,0.456123208,0.436876676,0.331932241,0.456123208,0.444439221,0.44905668,0.379231768,0.436876676,0.455180066,0.14878953,0.432351401,0.436876676,0.414573941,,,
M01D15,RNW,2015,ELE_WIN,0.414573941,0.379231768,0.44905668,0.436876676,,0.455180066,0.448365909,0.438554864,0.455714392,0.455714392,0.448365909,0.448365909,0.455180066,0.421845416,0.452112691,0.44905668,0.448365909,0.414573941,0.436876676,0.414573941,0.193935677,0.421845416,0.331932241,0.421845416,0.379231768,0.448365909,0.455714392,0.438554864,0.379231768,0.448365909,0.379231768,0.456123208,0.20192187,0.455714392,0.436876676,,,,
M01D16,RNW,2015,ELE_WIN,0.44905668,0.444439221,0.44905668,0.421845416,0.331932241,0.331932241,0.421845416,0.44905668,0.438554864,0.331932241,0.448365909,0.436876676,0.438554864,0.414573941,0.436876676,0.448365909,0.438554864,0.379231768,0.331932241,0.421845416,,0.421845416,0.455714392,0.44905668,0.193935677,0.455714392,0.438554864,0.438554864,0.438554864,0.44905668,0.414573941,0.44905668,0.452112691,0.331932241,0.421845416,0.379231768,,,
M01D17,RNW,2015,ELE_WIN,0.452112691,0.452112691,0.421845416,0.414573941,0.421845416,0.436876676,0.379231768,0.455180066,0.421845416,0.448365909,0.331932241,0.193935677,0.414573941,0.331932241,0.421845416,0.436876676,0.438554864,0.436876676,0.438554864,,,0.193935677,0.379231768,0.456123208,0.379231768,0.331932241,0.438554864,0.452112691,0.456123208,0.414573941,0.421845416,0.44905668,0.316793232,0.448365909,0.331932241,0.455180066,0.331932241,,
M01D18,RNW,2015,ELE_WIN,0.438554864,0.455714392,0.44905668,0.421845416,0.421845416,0.411422042,0.379231768,0.455180066,0.455714392,0.411422042,0.414573941,0.384675303,0.455180066,0.193935677,0.432351401,0.455714392,0.438554864,0.455714392,0.456123208,,,0.444439221,0.379231768,0.448365909,0.44905668,0.444439221,0.350062191,0.44905668,0.448365909,0.438554864,0.421845416,0.456123208,0.069259201,0.316793232,0.411422042,0.455180066,0.193935677,0.193935677,
M01D19,RNW,2015,ELE_WIN,0.350062191,0.282125931,0.282125931,0.455714392,0.379231768,0.436876676,0.44905668,0.455180066,0.455180066,0.438554864,0.448365909,0.438554864,0.455714392,0.436876676,0.438554864,0.350062191,0.331932241,0.455180066,0.421845416,,,0.421845416,0.379231768,0.455714392,0.44905668,0.44905668,0.438554864,0.438554864,0.432351401,0.452112691,0.436876676,0.411422042,0.316793232,0.436876676,0.436876676,0.421845416,0.331932241,,
M01D20,RNW,2015,ELE_WIN,0.44905668,0.455180066,0.438554864,0.438554864,0.193935677,0.455714392,0.414573941,0.444439221,0.432351401,0.455714392,0.414573941,,0.455180066,0.379231768,0.452112691,0.421845416,0.421845416,0.455180066,0.455714392,,,0.193935677,0.455714392,0.456123208,0.455180066,,0.193935677,0.432351401,0.438554864,0.44905668,0.438554864,0.432351401,0.20192187,0.455714392,0.193935677,0.421845416,,,
M01D21,RNW,2015,ELE_WIN,0.436876676,0.44905668,0.455180066,0.436876676,,0.452112691,0.414573941,0.436876676,0.448365909,0.455714392,0.331932241,0.421845416,0.455180066,0.379231768,0.456123208,0.456123208,0.455714392,0.436876676,0.448365909,0.331932241,0.193935677,0.414573941,0.44905668,0.414573941,0.452112691,0.193935677,0.448365909,0.436876676,0.438554864,0.379231768,0.331932241,0.384675303,0.20192187,0.452112691,0.436876676,0.193935677,,,0.193935677
