TimeSlice,Yr,Month,Day,Attribute,PSET_PN,AFE_ETH,AFE_KEN,AFN_DZA,AFN_EGY,AFN_MAR,AFN_TUN,AFO,AFW_NGA,AFW_SEN,ANZ_AUS,ANZ_NZL,ARG_ARG,ASA_PHL,ASA_THA,ASA_VNM,ASC_KAZ,ASE_MNG,ASE_TWN,ASO,ASS_BGD,ASS_LKA,ASS_PAK,ASW_AZE,ASW_CYP,ASW_GEO,ASW_ISR,ASW_JOR,ASW_KWT,ASW_OMN,BRA_BRA,CAN_CAN,CHN_CHN,ENE_UKR,ENN_NOR,ENS_BIH,ENS_MKD,ENS_MNE,ENS_SRB,ENW_CHE,EUE_BGR,EUE_CZE,EUE_HUN,EUE_LTU,EUE_LVA,EUE_POL,EUE_ROU,EUN_DNK,EUN_EST,EUN_FIN,EUN_IRL,EUN_SWE,EUS_ESP,EUS_GRC,EUS_HRV,EUS_ITA,EUS_PRT,EUW_AUT,EUW_BEL,EUW_DEU,EUW_FRA,EUW_LUX,EUW_NLD,GBR_GBR,IDN_IDN,IND_IND,IRN_IRN,JPN_JPN,KOR_KOR,MEX_MEX,RUS_RUS,SAC_CRI,SAC_CUW,SAC_DOM,SAC_GTM,SAC_HND,SAC_JAM,SAC_NIC,SAC_PAN,SAC_SLV,SAO,SAS_BOL,SAS_CHL,SAS_COL,SAS_ECU,SAS_PER,SAS_URY,SAU_SAU,TUR_TUR,USA_USA,ZAF_ZAF
M01D01,2065,1,1,RNW,ELE_WIN,0,25.601475,45.5714,43.43377692,29.748625,44.6997,45.5714,42.1845,44.591325,38.42430361,44.77671538,39.33254906,27.45634444,41.36608077,42.58822692,43.21628571,39.6903,39.64587778,42.1845,19.3936,39.36429231,35.69418824,41.4574,0,0,0,36.13153333,44.9057,0,39.70068519,42.22125134,38.773322,40.5217,37.93935,0,0,42.1845,27.08173333,0,32.22178462,29.38166667,19.3936,45.109845,44.9555,43.49589552,19.3936,43.5049125,44.77931818,40.58975492,34.71848846,42.7237786,40.74764641,29.84881124,38.0062375,35.13390226,31.744704,19.3936,36.92837045,35.66305515,42.02799096,39.0962,34.47926466,33.31019563,37.9232,31.01937101,28.59433333,40.13549699,39.9433825,40.11068246,34.60572778,41.40697857,17.64776667,38.8812,41.4574,40.47998,19.3936,45.6123,42.1845,37.9232,32.77756667,40.5725,32.86431026,26.65846667,0,41.064075,32.12496316,43.6877,34.75121846,41.09594647,36.15078108
M01D02,2065,1,2,RNW,ELE_WIN,19.3936,33.1932,43.8555,39.936675,38.69532308,43.2351,45.2113,41.4574,44.853875,43.75756078,41.84386923,42.49374737,19.48574444,40.12630769,42.34820253,37.89626667,37.3253,41.6379,37.9232,0,43.98219231,42.23303529,19.3936,19.3936,0,0,0,44.9057,19.3936,38.22361558,42.68975484,35.02956561,43.54713077,38.31925357,0,0,19.3936,0,0,42.39042353,27.83974286,0,31.31996667,43.18663333,40.84173239,40.42749333,43.76869844,45.00935455,45.12614672,43.4859456,42.0987963,39.70210624,30.12328421,19.3936,36.88385315,33.0186028,0,35.59684574,36.99013544,31.12804494,30.60188571,37.65378699,40.14923273,30.78905,32.9111041,37.08733333,42.16258298,43.9256575,42.55457612,42.20216154,44.34519286,21.5382,38.25765,37.9232,42.79558,19.3936,43.2351,44.67308333,37.9232,34.36873333,35.5582,36.03608043,23.47553333,0,39.39135,30.90310882,33.1932,37.61234739,40.25765365,39.54635946
M01D03,2065,1,3,RNW,ELE_WIN,33.1932,36.44175,43.8555,0,39.71018333,41.83983333,44.4439,42.1845,45.072125,42.74106792,41.26086154,40.57813684,23.11604444,31.50524615,40.20043718,43.64417143,44.2967,39.33349412,37.9232,0,44.06374615,43.08847647,19.3936,40.53658,0,0,33.1932,42.1845,33.1932,37.76713165,40.17284096,37.0278371,31.61165714,38.62715738,0,19.3936,19.3936,0,42.1845,40.32475,42.31934286,29.42967273,42.773545,43.6877,37.64450318,37.9232,43.30456328,42.76724545,37.629475,44.2488584,36.16179471,36.63229854,35.99927901,22.15352,34.47508447,35.22504444,37.13090755,39.6447383,41.06156929,44.98457955,43.31632857,38.52377945,43.38487461,37.9232,32.60547978,0,41.11470368,40.2932875,42.75877885,38.00311154,41.91416429,19.8844,43.5557375,33.1932,42.79558,37.9232,45.2113,43.6877,19.3936,33.00675,43.73323333,39.9657619,21.5382,0,33.2908,37.84961935,19.3936,34.68342867,40.76343284,37.32980286
M01D04,2065,1,4,RNW,ELE_WIN,33.1932,28.06715,45.518,42.33972,44.08045,39.35906667,45.5714,42.1845,43.72965,41.21642549,42.72744167,43.45190702,29.52814444,39.81786923,41.82527089,37.6103,40.80545,35.91087407,37.614175,0,44.61596154,42.05618824,33.1932,0,0,0,33.1932,33.1932,41.4574,35.96946169,41.66802526,38.35036771,40.34960833,42.04566949,19.3936,0,0,19.3936,0,44.80634118,30.43328,38.45223636,28.59333333,41.7662,23.77949688,40.59908261,43.37872578,43.13163636,40.0812918,44.2027096,34.9528,36.25871613,40.43045143,35.06725217,34.53247585,28.88175,40.94935575,36.61249255,32.7148308,34.15955526,34.14368571,35.88447214,43.6741591,0,32.21717807,0,36.325525,36.84152059,41.4234082,35.68535,42.38094286,13.5591,44.7102625,0,41.3819,41.4574,45.2113,42.1845,0,28.8967,34.34516667,38.53879762,19.0575,0,22.8435,39.81491765,42.1845,37.2673419,38.3613344,39.19236
M01D05,2065,1,5,RNW,ELE_WIN,33.1932,34.275025,45.2113,39.80456,41.15306923,45.58086667,44.9057,43.6877,43.6877,39.58443868,42.72450769,41.78824211,22.54115556,42.19443333,44.09530253,41.3994,33.1932,38.45491852,45.00756667,0,41.23073077,39.86145882,19.3936,41.19662,0,0,0,41.4574,19.3936,40.50670174,40.44658453,39.13967689,42.61122308,40.80602615,44.45363333,42.1845,43.5144,32.32528,0,26.93987,24.25242,19.3936,43.82173,42.53746667,42.05274358,42.00238269,38.22239141,42.72458182,39.9633082,43.50364,39.86032818,33.73881711,35.58766043,42.271452,42.09997095,35.28345722,0,34.55037979,41.10223457,30.85833948,24.91344,40.40826233,42.13475551,0,33.32435707,0,39.08345821,40.767425,43.07537344,42.38863125,38.57109286,15.73376667,43.0929875,19.3936,38.15172,41.4574,45.518,37.9232,19.3936,30.363,45.3139,29.15174583,26.65846667,0,35.37018,44.54420294,37.9232,31.40057336,40.43124448,37.27624
M01D06,2065,1,6,RNW,ELE_WIN,33.1932,27.22575,45.6123,40.33999231,40.85993846,43.18663333,43.6877,42.1845,42.1845,35.81764659,41.2693,40.10941754,17.78064444,44.0316963,43.89617215,34.909125,41.82095,39.03347407,41.9603,0,39.35897692,34.90854118,0,29.7433,0,0,0,43.8555,42.1845,41.16971825,37.82216831,33.70981668,38.70488571,34.53424603,41.94213333,41.4574,40.05385,0,0,44.04974118,39.41481429,33.1932,37.467565,20.9681,43.55726429,41.12594615,44.23015234,31.88144545,41.46421475,43.099716,43.15433242,30.27905787,37.78540365,42.79236957,33.82490627,39.70502143,38.65376455,27.21381613,41.46983937,25.00833308,0,37.98072817,41.46138247,0,33.99532311,0,38.81390956,40.20883,41.30497963,31.01906957,34.52847143,17.64776667,40.95251429,19.3936,38.15172,37.9232,45.5714,37.9232,0,36.25145,38.473425,30.41174889,20.00643333,0,40.57385,40.56589118,19.3936,34.29328377,40.50312463,32.50946
M01D07,2065,1,7,RNW,ELE_WIN,33.1932,29.132475,43.2351,43.30583077,40.58637692,19.3936,42.1845,42.1845,42.002725,36.7050519,43.43370769,42.12178,21.84895556,39.59884615,43.60207564,36.81801818,0,31.06649259,39.668825,0,38.57878462,33.7956,37.9232,19.3936,19.3936,0,41.4574,42.1845,41.4574,41.77237052,43.37955645,35.51346199,43.86210714,37.68340161,0,19.3936,19.3936,21.69353333,0,41.00131,43.83592857,42.68983636,41.940565,27.37283333,44.5007625,39.82043378,43.51935391,38.04697273,44.56316557,43.4498608,44.10759364,30.3490322,32.90650152,30.00867692,33.86084222,35.09753584,44.72055586,38.0397775,42.241386,22.88260299,0,40.6342993,42.58119413,33.1932,30.58109444,39.8042,33.44935785,41.76706,35.11953729,40.23311111,32.15725714,17.64776667,41.66514286,0,40.04372,37.9232,44.9057,42.06331667,0,35.48908333,45.58086667,39.16036,20.7113,0,41.119175,44.67240294,19.3936,37.8373055,37.54533796,32.95514286
M01D08,2065,1,8,RNW,ELE_WIN,0,31.233225,44.4439,44.27761538,39.21813846,19.3936,41.4574,43.6877,41.4574,41.44834811,40.90426667,41.40158571,22.07911111,40.34283077,43.55792152,31.18112727,0,37.83484074,40.900575,33.1932,31.34015385,41.97064706,19.3936,25.85944,0,35.5582,41.9472,19.3936,0,38.80625108,41.25719624,32.90540483,44.19317857,37.69075873,0,0,0,38.43411667,0,41.094875,43.50412857,37.06203636,43.16483,44.8366,44.9243875,39.35453636,31.89499141,44.4897,43.94304098,34.80862632,44.36432,39.95719537,29.70335976,19.3936,34.41015962,29.41604831,43.82548393,32.48625778,42.45519851,23.56459862,19.3936,41.58046986,40.0571399,33.1932,29.65059162,44.8756,42.44207234,43.60432,41.08622969,43.13071364,41.65448571,28.98463333,40.424375,19.3936,40.47998,33.1932,45.6123,43.43716667,0,40.10458333,38.70266667,37.26467391,31.4227,0,39.39135,45.04489706,43.8555,37.37783631,37.51007419,35.89268378
M01D09,2065,1,9,RNW,ELE_WIN,19.3936,24.68777143,45.5714,44.10653077,37.70911538,28.59333333,43.6877,43.6877,44.549375,35.3129989,43.43536923,37.7265386,22.47795556,25.545125,37.30420533,31.68676,19.3936,38.78293333,38.96355,19.3936,38.81004615,33.54032941,19.3936,0,19.3936,0,41.80106667,44.8366,42.1845,39.22092693,42.91758441,34.52892,42.38146429,33.17721148,0,0,0,38.31293333,0,44.72713529,45.35621429,41.75305455,44.878805,45.1098,35.47919554,39.47743506,9.933444531,44.9729,44.65143033,25.65500625,40.51013455,32.55284606,27.89263188,0,34.0458875,32.07419556,45.09711696,39.32227766,39.72763436,28.47848376,40.75924286,40.58089178,39.30129352,33.1932,29.59855657,30.797,40.51988815,41.7932225,38.95836552,36.43965556,41.30409286,36.5736,31.95331429,33.1932,38.15172,0,45.518,42.06331667,19.3936,42.03206667,38.70266667,33.43515349,46.45906667,0,42.002725,43.29096471,45.5714,34.5564254,40.86954604,35.21822571
M01D10,2065,1,10,RNW,ELE_WIN,33.1932,27.66891429,43.8555,33.1932,29.48513333,45.1276,43.8555,41.4574,44.64315,43.24948019,38.9725,40.28897377,23.34976667,25.65534211,34.40550676,35.81020833,30.4255,38.39620741,44.44585,19.3936,41.52866154,38.05449412,41.4574,35.3918,37.9232,0,19.3936,42.1845,42.1845,40.24857548,40.68094702,35.20749106,40.21837143,39.47401311,0,0,0,22.48186667,19.3936,41.65049412,43.50055714,42.63779091,44.494865,45.5536,43.18961696,40.94819636,35.05120078,39.6963,29.18067111,31.93056,42.20401227,32.19677994,36.7418,21.07810909,33.43767083,22.18299167,44.81187168,40.79316702,42.76349219,39.67257763,45.52807143,37.88650411,37.1614662,19.3936,30.3860311,36.73515,40.53012574,39.0326575,37.00339184,37.8203,27.22882857,28.98463333,29.98194286,0,33.1932,0,44.9057,37.13486667,0,39.04765,43.74363333,36.20181778,46.09753333,0,43.9918,44.26732941,0,33.53263467,41.8738072,35.07015556
