TimeSlice,Yr,Month,Day,time,Attribute,PSET_PN,AFE_ETH,AFE_KEN,AFN_DZA,AFN_EGY,AFN_MAR,AFN_TUN,AFO,AFW_NGA,AFW_SEN,ANZ_AUS,ANZ_NZL,ARG_ARG,ASA_PHL,ASA_THA,ASA_VNM,ASC_KAZ,ASE_MNG,ASE_TWN,ASO,ASS_BGD,ASS_LKA,ASS_PAK,ASW_AZE,ASW_CYP,ASW_GEO,ASW_ISR,ASW_JOR,ASW_KWT,ASW_OMN,BRA_BRA,CAN_CAN,CHN_CHN,ENE_UKR,ENN_NOR,ENS_BIH,ENS_MKD,ENS_MNE,ENS_SRB,ENW_CHE,EUE_BGR,EUE_CZE,EUE_HUN,EUE_LTU,EUE_LVA,EUE_POL,EUE_ROU,EUN_DNK,EUN_EST,EUN_FIN,EUN_IRL,EUN_SWE,EUS_ESP,EUS_GRC,EUS_HRV,EUS_ITA,EUS_PRT,EUW_AUT,EUW_BEL,EUW_DEU,EUW_FRA,EUW_LUX,EUW_NLD,GBR_GBR,IDN_IDN,IND_IND,IRN_IRN,JPN_JPN,KOR_KOR,MEX_MEX,RUS_RUS,SAC_CRI,SAC_CUW,SAC_DOM,SAC_GTM,SAC_HND,SAC_JAM,SAC_NIC,SAC_PAN,SAC_SLV,SAO,SAS_BOL,SAS_CHL,SAS_COL,SAS_ECU,SAS_PER,SAS_URY,SAU_SAU,TUR_TUR,USA_USA,ZAF_ZAF
M01D01,2040,01,01,2040-01-01,RNW,ELE_WIN,19.3936,35.8505,37.9232,39.816500000000005,41.59161818181818,42.24276666666667,43.8555,37.9232,43.6877,34.1674627118644,37.10553076923077,38.13073962264152,25.369377777777785,39.04537692307692,39.620713157894734,28.62668,19.3936,34.48996666666667,25.509075,0.0,37.63943076923077,44.66298235294117,37.9232,39.80456,0.0,0.0,0.0,0.0,43.6877,41.04638361344538,42.831625842696624,36.67154492707673,38.47668461538462,41.95415384615384,43.2985,33.1932,43.4877,0.0,0.0,42.45784117647059,33.271280000000004,44.504963636363634,37.9232,38.702666666666666,35.18393133640553,34.09224693877551,37.665690625,44.40512727272727,44.88525573770492,40.8543632,43.563505000000006,35.43195279503105,35.49198525641025,44.0704,41.3282956923077,28.48300616438356,44.74234690265487,38.779825531914895,37.41303592519685,35.412564469914045,28.593333333333334,42.045808219178085,40.11822651685394,0.0,33.47253059866962,46.0791,41.33646879432624,41.4717325,41.481925,38.60806315789474,28.08205,47.1366,0.0,37.9232,37.9232,42.1845,45.518,42.063316666666665,37.9232,41.55936666666667,40.27933333333333,36.92671935483871,44.469233333333335,0.0,37.19006,25.9508,19.3936,36.52767737226277,40.891136383442266,41.63615675675676
M01D02,2040,01,02,2040-01-02,RNW,ELE_WIN,0.0,38.80675,43.8555,39.0761,44.39973076923077,45.3139,41.4574,33.1932,42.002725,42.39758073394496,43.03422307692308,42.90396140350877,24.737744444444445,36.26485384615385,39.16093717948718,32.9172,28.6584,38.1063375,38.52435,0.0,33.1932,41.88510588235294,0.0,38.63004,0.0,0.0,26.2934,19.3936,41.4574,40.94374861995754,39.137882777777776,35.79448946643718,34.9132,37.97440923076923,43.18663333333333,33.1932,43.4877,0.0,0.0,43.95182941176471,19.3936,41.68304545454546,37.52247857142857,45.32646666666667,32.537995930232555,33.31064791666667,41.02221015625,45.24122727272727,44.41579590163934,35.444387199999994,43.474164840182645,35.65349901960784,39.80837076023392,44.634264,38.79666396103896,37.256559589041096,43.32820714285714,36.5670585106383,32.231905540417806,32.61570194063927,24.91344,40.71733150684932,43.13848269662922,0.0,29.4066074829932,28.916566666666665,42.61505602836879,43.026277500000006,39.27152777777778,37.7094294117647,40.44475714285714,46.63,39.10126666666667,25.57013333333333,40.04372,33.1932,44.4439,43.82753333333333,33.1932,43.06668333333334,19.3936,37.62116216216216,46.677166666666665,0.0,32.53218,33.09155909090909,0.0,34.91572262443439,39.87941295871559,41.82804864864865
M01D03,2040,01,03,2040-01-03,RNW,ELE_WIN,0.0,38.2155,44.8366,40.28563846153846,45.3293,44.4997,37.9232,33.1932,43.130125,42.16787407407407,44.91974615384615,43.9118403508772,28.29951111111111,34.06678076923077,37.05548846153846,33.57899999999999,30.4255,35.529333333333334,36.1903,0.0,0.0,33.76029411764706,0.0,43.08642,0.0,19.3936,37.18264444444444,44.9057,33.1932,40.15727064846416,37.43763315217391,34.470776696393955,39.3482,41.42973384615384,31.74666666666667,33.1932,28.6584,0.0,0.0,44.72038823529412,33.1932,25.307714285714287,43.28329,45.5714,38.227910328638494,39.400854,40.94010625,44.98436363636364,44.62351639344262,35.75983863636364,44.02477909090909,33.280146296296294,34.94604999999999,40.33112916666666,28.458945535714285,33.415350393700784,30.15594615384616,27.25423125,37.74466862361383,25.17181951219512,0.0,38.892447260273975,41.01971757719714,0.0,34.42263141025641,32.1346,40.58037452830189,36.35678378378378,39.82962,37.17989375,40.39227142857143,35.3232,19.3936,19.3936,36.0312,41.4574,44.4439,44.67308333333333,19.3936,41.99496666666666,26.2934,40.23702692307692,45.0326,0.0,38.1301,39.06847647058823,43.6877,36.60599263157895,39.99679694501018,42.42082162162162
M01D04,2040,01,04,2040-01-04,RNW,ELE_WIN,0.0,36.048775,44.8366,44.19456923076923,41.537,33.1932,43.6877,37.9232,44.549375,40.46213396226416,40.35612307692308,43.50449622641509,25.56247777777778,30.27338846153846,37.7426328125,28.67994285714285,0.0,32.40146,42.319475,33.1932,19.3936,27.51101176470588,42.1845,0.0,0.0,37.3253,41.30544444444445,42.1845,19.3936,42.27083711911357,40.746870967741934,36.34729872545642,25.931766666666665,40.10902456140351,19.3936,0.0,0.0,0.0,0.0,43.5911,37.75237142857143,25.701636363636364,32.18229,41.94213333333334,40.66092869955157,32.792922222222224,44.3101671875,43.05802727272727,43.45464918032787,34.0353948275862,38.80617123287671,33.06975810810811,32.76370943396226,28.385514285714287,29.82069032258065,34.64676929133858,38.1718936936937,37.4092,38.79205785440614,29.723776153846156,31.2776,42.1240705479452,42.31194786729858,0.0,26.041982550335568,37.653025,39.32523134328358,34.529081481481484,38.75697192982456,30.717342857142857,42.04420714285714,40.2559,0.0,27.49163333333333,43.08642,33.1932,45.2113,44.73066666666667,42.1845,43.21091666666666,37.5246,38.65633793103448,47.1723,0.0,34.92412,41.09226129032258,37.9232,36.469050510204085,40.90068542857143,42.38540270270271
M01D05,2040,01,05,2040-01-05,RNW,ELE_WIN,0.0,36.230114285714286,43.8555,44.28526153846154,26.95235,0.0,41.4574,41.4574,43.130125,37.20157261904762,43.02535384615385,44.2247320754717,25.388022222222222,37.90128333333333,38.20764528301886,37.0901875,30.4255,29.44440588235294,38.35379999999999,33.1932,28.6584,42.25277647058823,0.0,0.0,0.0,28.6584,42.93984444444445,0.0,43.6877,42.712625901201605,42.960845698924736,35.65653916701724,20.77356,40.71040307692307,0.0,0.0,0.0,0.0,0.0,33.55704615384615,35.725228571428566,0.0,37.453885,41.4574,30.28950282485876,33.1932,42.1535703125,42.54361818181818,43.42484344262295,32.76921923076923,38.81932181818182,32.38347447698745,34.188332,19.3936,29.489506896551724,31.971589583333337,34.506736363636364,38.87749361702128,40.4205850550603,26.46286969026548,38.08642857142858,41.998722602739726,37.96484923469388,0.0,33.527958048780484,33.37375,34.77063409090909,33.532425,40.45692826086957,26.4715125,42.68893571428571,46.294900000000005,39.10126666666667,27.547566666666665,43.08642,43.6877,44.4439,44.89418333333333,43.6877,39.50749999999999,25.57013333333333,33.646524390243904,45.61803333333333,0.0,33.1932,36.08122258064516,44.8366,34.22080791366906,41.50683194444444,40.590621428571424
M01D06,2040,01,06,2040-01-06,RNW,ELE_WIN,33.1932,38.96988571428572,45.5714,24.00347692307692,44.882290909090905,0.0,43.6877,37.9232,43.43775,44.56131226415094,38.56475,43.9936,31.592555555555556,19.3936,38.65849545454545,27.2122125,33.1932,27.410817647058824,41.3799,33.1932,44.12263076923077,32.84317647058823,0.0,0.0,0.0,19.3936,40.253425,42.1845,42.1845,42.626334002677375,40.90591222222222,36.37551696640652,28.6584,41.77792,0.0,0.0,19.3936,0.0,0.0,37.26777142857143,40.766242857142856,0.0,43.300705,44.8366,43.35435758928572,33.1932,35.473721875,45.476645454545455,44.90092459016393,32.766981034482754,44.86612409090909,29.072825431034484,38.26558028169014,0.0,32.24667924528302,29.309747368421053,33.86415454545455,25.751675268817205,41.27319875916525,31.284476323987537,24.91344,40.59366712328767,40.62019255583127,19.3936,32.7221214092141,36.48125,37.171238016528925,35.96731481481481,39.57282063492064,34.90862,30.362919999999995,42.6189,0.0,37.9232,27.673359999999995,0.0,45.5714,41.4574,33.1932,38.68445,37.5246,36.87501,46.99956666666666,0.0,38.38282,44.112944117647054,43.6877,42.088541095890406,41.42819355450237,40.86070555555556
M01D07,2040,01,07,2040-01-07,RNW,ELE_WIN,19.3936,34.54462857142857,45.2113,21.88046153846153,43.17700833333333,0.0,43.8555,41.4574,44.643150000000006,42.888421698113206,32.53338,40.06109016393443,39.10377777777778,0.0,27.21803076923077,31.895814285714284,40.05385,32.630976000000004,30.78905,33.1932,42.31286153846153,42.59249411764706,0.0,42.48514,0.0,33.1932,26.7482,33.1932,43.6877,40.87648134110787,41.81913559322034,37.46316778800381,33.66801538461538,41.228838095238096,0.0,0.0,0.0,19.3936,0.0,43.14199411764706,45.53147142857143,37.50135454545455,42.214915,44.18253333333333,42.11449732142857,35.879536538461544,25.88800546875,44.86575454545454,45.283626229508194,33.11874423076923,43.943510454545454,34.28728272727273,32.220440707964606,0.0,29.180844067796613,27.68905,45.14613963963964,39.58389680851064,42.87383943217666,25.489352447552445,36.735,43.143267123287664,40.775271395881,37.9232,32.36359601449276,17.92055,38.07427956204379,36.34481,41.254919402985074,38.703259090909086,36.83386428571429,36.5736,30.43328,37.9232,24.91344,0.0,45.5714,42.063316666666665,33.1932,42.75143333333333,37.9232,37.38322682926829,45.56506666666667,0.0,43.255975,31.33963125,19.3936,36.493767515923565,40.53379136276392,39.76732962962962
M01D08,2040,01,08,2040-01-08,RNW,ELE_WIN,0.0,34.375699999999995,44.4439,44.058853846153845,42.52419166666667,19.3936,42.1845,37.9232,43.43775,40.13572307692308,42.49196153846154,41.17619824561403,23.63647142857143,0.0,26.2934,35.317625,26.2934,37.91458518518519,40.27933333333333,19.3936,42.37410769230769,43.47689411764706,0.0,43.71752,0.0,37.9232,41.9472,41.4574,42.1845,37.0912684370258,42.65560210526316,37.359027517018994,43.81642857142857,41.01887301587301,0.0,0.0,0.0,32.46993333333333,0.0,45.05822352941176,44.98105714285714,40.856072727272725,42.68021,44.42746666666667,44.63464642857143,35.86546578947368,40.23236171874999,43.85316363636363,43.35333114754099,26.28905194805195,43.45995227272727,32.076327093596056,31.098323943661967,0.0,35.174053333333326,31.867666412213744,44.351859459459455,42.18278191489362,43.98916369327074,38.83152214452214,43.61044285714286,42.16240342465753,36.13724289544236,19.3936,30.428193641618492,19.3936,42.84109219858156,42.7096025,35.32429016393443,43.70516153846154,42.68289333333333,45.0326,33.1932,37.097366666666666,45.27308000000001,42.1845,41.1422,45.596583333333335,45.5714,44.9624,0.0,38.02699523809524,46.8683,0.0,41.064075,38.88408235294118,42.1845,34.20676261682243,41.47330131712259,39.71324864864865
M01D09,2040,01,09,2040-01-09,RNW,ELE_WIN,19.3936,41.2223125,45.6123,39.63476923076923,42.810825,44.9057,37.9232,41.4574,41.119175,32.57426464646464,43.64321538461539,41.777815789473685,40.7269375,19.3936,26.408606896551724,41.540842857142856,33.1932,39.540962962962965,33.290800000000004,19.3936,43.1549,43.48165294117647,0.0,22.15352,0.0,19.3936,34.773875000000004,43.6877,19.3936,39.60484992412746,42.86911602209945,31.03094238075137,27.363244444444444,40.99316666666667,0.0,0.0,37.9232,19.3936,0.0,38.1618375,42.99285714285714,35.5582,37.20113846153846,44.42746666666667,44.25662857142857,22.423252631578947,38.1875890625,22.460177777777776,41.26402203389831,32.22624999999999,44.174778181818176,34.06183292307692,33.776092473118275,19.3936,32.41523926701571,29.21421123595506,38.3863009009009,40.84281595744681,43.34385007808434,37.09617970065482,44.89094285714286,40.313914383561645,36.21309897260274,26.2934,32.214381978798585,25.556875,38.49082482269503,42.316435,41.26802857142857,35.93526296296296,44.13862857142857,35.3232,32.1083,37.07433333333333,45.32966,41.4574,28.2126,45.60548333333333,44.8366,39.830216666666665,38.945033333333335,39.77253846153846,47.1723,0.0,35.816824999999994,36.120705882352944,43.6877,39.33830047393365,40.2619449330784,37.85146216216216
M01D10,2040,01,10,2040-01-10,RNW,ELE_WIN,33.1932,41.7300625,45.6123,27.411761538461537,44.23239230769231,43.8555,44.9057,41.4574,44.9057,41.4879854368932,44.30312307692308,42.242626785714286,36.14344444444444,19.3936,28.66109090909091,34.8902875,26.2934,38.87834705882353,33.8754,19.3936,43.00442307692308,32.84317647058823,42.1845,43.48774,33.1932,19.3936,33.1932,19.3936,41.4574,35.53634930448222,39.093934730538926,33.70080497306258,40.96103076923077,39.49568333333333,0.0,0.0,33.1932,19.3936,0.0,44.82408823529412,44.70631428571428,40.96068181818182,35.63096,39.34363333333334,43.629781696428566,41.318440384615386,36.59105703125,31.67642727272727,40.59650491803279,35.664539999999995,41.39791013824885,32.94020872340426,35.64901311475409,35.6485,36.68989468085107,34.2002025510204,43.26907927927928,41.30929255319148,44.05976173867777,37.52423230769231,44.5859,41.207858219178085,41.22189703196347,33.1932,31.43043348729792,30.797,39.00211923076923,36.52412666666667,36.76069180327869,44.20446296296296,41.64922666666666,47.0652,0.0,37.07433333333333,44.88504,41.4574,31.6793,45.526900000000005,43.8555,43.49295,26.2934,36.59131707317073,46.08143333333334,0.0,40.25062,41.42963823529412,0.0,33.64328714285714,38.73224154135338,40.96014054054054
