TimeSlice,Yr,Month,Day,Attribute,PSET_PN,AFE_ETH,AFE_KEN,AFN_DZA,AFN_EGY,AFN_MAR,AFN_TUN,AFO,AFW_NGA,AFW_SEN,ANZ_AUS,ANZ_NZL,ARG_ARG,ASA_PHL,ASA_THA,ASA_VNM,ASC_KAZ,ASE_MNG,ASE_TWN,ASO,ASS_BGD,ASS_LKA,ASS_PAK,ASW_AZE,ASW_CYP,ASW_GEO,ASW_ISR,ASW_JOR,ASW_KWT,ASW_OMN,BRA_BRA,CAN_CAN,CHN_CHN,ENE_UKR,ENN_NOR,ENS_BIH,ENS_MKD,ENS_MNE,ENS_SRB,ENW_CHE,EUE_BGR,EUE_CZE,EUE_HUN,EUE_LTU,EUE_LVA,EUE_POL,EUE_ROU,EUN_DNK,EUN_EST,EUN_FIN,EUN_IRL,EUN_SWE,EUS_ESP,EUS_GRC,EUS_HRV,EUS_ITA,EUS_PRT,EUW_AUT,EUW_BEL,EUW_DEU,EUW_FRA,EUW_LUX,EUW_NLD,GBR_GBR,IDN_IDN,IND_IND,IRN_IRN,JPN_JPN,KOR_KOR,MEX_MEX,RUS_RUS,SAC_CRI,SAC_CUW,SAC_DOM,SAC_GTM,SAC_HND,SAC_JAM,SAC_NIC,SAC_PAN,SAC_SLV,SAO,SAS_BOL,SAS_CHL,SAS_COL,SAS_ECU,SAS_PER,SAS_URY,SAU_SAU,TUR_TUR,USA_USA,ZAF_ZAF
M01D11,2040,1,11,RNW,ELE_WIN,37.9232,42.1845,19.3936,42.86925385,41.32543077,44.55256667,45.6123,42.1845,44.853875,40.53629,37.322275,43.48532456,22.73095556,26.2674625,37.95458077,39.69624444,44.2967,30.05393529,41.83706667,0,42.5419,19.3936,41.4574,38.63004,0,0,25.091325,41.4574,37.9232,38.81460228,37.1258467,37.2448349,39.34287692,30.87901818,42.1845,33.1932,42.7098,41.1735,43.8555,43.42342,45.3881,37.32480909,44.837645,45.08153333,39.07057813,41.40075455,33.35098203,31.64433,20.65520727,30.60458585,36.78358239,41.03767065,31.18559496,42.64202083,42.20453102,29.83592353,44.08353679,29.80726489,39.24308574,41.65456661,40.0994,18.43296164,34.38423712,0,29.60583767,48.7501,33.12163333,24.47726667,38.77868364,39.22187037,33.54672857,46.18816667,0,27.49163333,41.4574,0,45.5714,43.8555,43.6877,45.08471667,0,34.81229348,43.94556667,0,34.3757,44.37926176,43.6877,34.7999433,37.84551041,42.55216667
M01D12,2040,1,12,RNW,ELE_WIN,37.9232,34.57056667,44.8366,42.85622308,38.73202308,44.9555,45.5714,41.4574,44.853875,38.25799615,35.58966667,44.5934,27.6051,24.717996,37.23601711,43.38971,32.92473333,32.76593158,40.2507,0,41.54156923,21.36497143,33.1932,0,0,0,0,41.4574,37.9232,38.62732433,41.67473548,39.32571212,43.33217143,36.92107297,19.3936,19.3936,38.52435,28.6584,19.3936,42.55269,26.2934,45.54155455,45.024335,44.04096667,41.04275388,42.75500196,41.46733125,43.46553636,33.38628911,43.9876224,37.67317612,39.44869495,38.93509866,38.962948,42.99574399,30.74809692,44.95957565,40.46574574,39.1038794,36.69726295,41.97675714,42.98919384,35.35719082,0,27.58011264,29.58145,33.03901858,35.65565294,35.45734915,33.41463333,40.13445556,46.2949,0,33.1932,33.1932,37.9232,44.8366,42.1845,33.1932,44.72713333,19.3936,34.6238675,45.9747,19.3936,27.67336,44.01685,19.3936,39.73041784,41.04632342,40.58641351
M01D13,2040,1,13,RNW,ELE_WIN,41.4574,36.292275,45.518,37.46426923,39.21571538,45.518,45.518,37.9232,44.100775,32.72713776,35.53945,42.43794211,31.37431111,36.30115769,41.68521154,34.45461,43.02,39.79792593,45.2113,33.1932,41.52866154,19.3936,19.3936,30.43328,0,35.5582,44.12123333,45.5714,42.1845,37.09236389,42.40123913,38.61298152,27.10342222,41.43213774,39.1874,19.3936,28.6584,26.2934,0,35.45258667,0,40.04924545,0,36.34653333,40.501225,23.58712727,35.44999426,42.40806364,28.55654333,44.3924424,31.145455,39.10985017,34.90589759,43.872236,28.13936538,30.60598182,34.22621569,46.17653636,27.94559504,31.62777512,0,32.77041818,40.65413034,0,27.94769519,47.9625,41.20416214,42.93853,35.32472308,24.21870476,36.9772,47.1366,0,0,0,33.1932,43.6877,21.69353333,0,45.52691667,0,39.05105128,46.48603333,0,22.8435,44.61027647,33.1932,34.0642206,40.40678127,41.79499189
M01D14,2040,1,14,RNW,ELE_WIN,37.9232,25.1597,43.6877,26.63545833,38.80640769,44.45363333,41.1422,37.9232,45.55805,37.01268911,40.05385,43.82550877,21.75753333,40.47508519,44.00370759,37.1847,43.7716,39.31688519,44.8366,37.9232,43.05503846,44.40300588,0,39.4823,0,43.51055,45.22094444,44.8366,42.1845,41.6895905,40.03575531,39.45914187,39.67365,32.99224615,0,37.9232,0,26.2934,0,33.71164211,35.43934286,45.36242727,32.09078947,19.3936,34.62186205,39.98566883,37.85307969,23.53348,30.01986486,44.3165952,37.43266753,39.04907145,33.43949753,22.38221667,32.59762727,33.09752308,44.60120088,38.17377766,33.26175501,40.14753342,24.91344,41.17357671,42.10646989,0,38.2843288,29.985725,41.45471314,38.79169744,35.06064762,34.419655,26.68322857,40.2559,19.3936,19.3936,19.3936,19.3936,44.8366,41.57858333,19.3936,43.4903,32.92473333,34.85060588,46.93393333,0,30.43328,43.72878529,19.3936,32.46068756,38.28943952,37.83576364
M01D15,2040,1,15,RNW,ELE_WIN,33.1932,25.57013333,41.4574,37.47273846,43.5182,41.4574,45.2113,37.9232,45.072125,41.60776698,40.99390769,43.25324211,23.86667778,38.69124615,43.41207215,29.99618333,43.8555,37.62671111,43.6877,37.9232,44.11126923,45.03292941,42.1845,39.62772,0,42.9361,44.2573,37.9232,44.8366,41.82336208,37.79240613,39.75061471,35.41998571,42.1973,0,0,19.3936,0,0,33.1932,0,0,45.21691,45.54943333,41.38387208,36.94943404,44.05473594,43.43925455,44.39002377,36.6634072,39.89609749,41.59511626,30.85316981,37.9232,27.14628182,35.73788407,0,31.96227917,34.71936593,36.77541255,0,38.25377071,39.63754045,0,38.56881069,35.800625,41.36593929,41.53725,37.77887727,41.44326923,27.48127143,40.2559,34.96695,19.3936,19.3936,43.6877,44.8366,43.6877,19.3936,43.4878,36.34653333,32.86465357,42.6189,0,37.9232,42.59709706,37.9232,29.80595263,36.66976817,38.89998286
M01D16,2040,1,16,RNW,ELE_WIN,37.9232,27.08173333,19.3936,41.24342,41.8362,43.18663333,45.518,33.1932,44.888425,42.1284215,44.53249231,43.90983333,26.2852,37.61746538,42.61636923,38.717675,42.65645,37.72902222,41.4574,19.3936,43.59711538,43.70744118,42.1845,36.9772,0,39.6903,43.31786667,37.9232,44.9057,40.37816804,34.81409133,40.93649656,35.74440769,32.70972807,19.3936,0,30.78905,0,0,19.3936,19.3936,0,27.32282222,36.34653333,20.84618947,19.3936,40.54439182,43.88591818,43.31270246,26.7310561,31.22867213,36.97237109,36.75716038,30.425844,39.58105,31.4016927,19.3936,30.5738623,39.02414634,40.12301539,0,38.54462917,33.87355268,0,34.00713512,36.31225714,42.1884,37.737805,32.30854423,38.42207778,35.79068571,22.50686667,40.8138875,0,33.1932,42.1845,45.5714,41.57858333,0,37.9931,34.84623333,28.76036429,34.02303333,0,35.3918,42.91066471,41.4574,33.78566855,36.55625408,37.90285714
M01D17,2040,1,17,RNW,ELE_WIN,28.21912,38.9299375,37.9232,37.614175,40.37654167,40.27933333,44.9057,33.1932,44.8366,42.74821927,36.62067692,43.22414386,20.80828889,40.16994815,43.86545443,42.8843375,37.3253,39.22014815,39.3823,0,43.9775,33.1932,19.3936,34.1392,0,35.5582,39.82464444,43.8555,43.8555,39.45611327,37.03050783,40.2456067,28.59333333,36.52865472,0,0,0,34.63563333,0,0,30.43328,42.25950909,32.727975,37.9232,38.16812903,28.35945,43.87929766,41.37601818,41.06845328,27.5246,37.34146345,37.30312074,37.85272909,0,33.46126286,29.13647552,42.10092569,33.01654146,29.53576034,40.19771721,34.54462857,35.076,32.52718054,0,29.70335805,32.1948,41.11584179,40.982065,27.55879231,34.64714375,40.04105,22.50686667,39.5355875,0,38.15172,43.6877,45.518,38.63341667,0,37.9214,34.34516667,34.70128974,37.824,0,37.4809,44.06965294,41.4574,31.52342115,37.6464013,39.02856765
M01D18,2040,1,18,RNW,ELE_WIN,37.9232,36.9744125,0,37.10352308,27.7033,37.9232,45.5714,19.3936,44.8366,43.5555211,36.3236,44.73768421,20.30972222,40.91797308,43.36266835,35.63375,19.3936,37.44268889,44.40966667,0,38.69441538,0,0,0,0,0,19.3936,43.6877,43.6877,32.24438516,39.71955799,37.89325903,23.51128889,32.67033333,0,0,0,19.3936,0,19.3936,33.1932,29.85967273,27.44336667,37.9232,40.39896278,24.51916571,42.52585469,38.84446364,40.818,34.97376517,33.88445648,35.98663434,39.16927857,0,32.242765,29.42071792,36.07385106,46.26579091,39.37927287,32.74814913,0,34.07151679,34.17806519,0,27.70543854,47.715,42.11663214,42.605435,35.71004828,40.29940952,34.62835,22.50686667,41.0728375,0,38.15172,33.1932,45.5714,38.51223333,0,36.33683333,31.74666667,40.05013333,34.02303333,0,38.82888,38.06060294,0,25.50059,41.17074275,38.16713333
M01D19,2040,1,19,RNW,ELE_WIN,19.3936,25.98342857,0,43.60187692,42.1845,39.34363333,45.518,19.3936,45.404975,39.57568444,43.27117692,43.87259649,20.64377778,39.81406538,42.93853462,38.54232,19.3936,39.65814444,44.55563333,0,43.29693077,38.33585882,33.1932,0,0,0,33.1932,41.4574,41.4574,35.41285299,42.85390389,37.21494526,32.22884444,32.10164717,28.59333333,0,28.6584,19.3936,0,34.42686667,19.3936,0,23.99346667,33.1932,22.15352,26.79424167,40.83230984,42.74002727,43.83305902,35.07257699,35.22082458,33.0753706,41.57145455,38.65754583,35.19564812,26.56744545,0,29.89443636,21.42372848,26.77521486,0,27.53603333,39.09759125,0,39.6183693,0,36.79278088,42.648145,30.65264262,41.00471304,41.58440714,27.7656,40.6970375,19.3936,40.47998,37.9232,45.2113,41.4574,0,34.95133333,0,38.7026,36.52383333,0,41.639175,45.18462941,0,33.09448793,41.11715719,34.96673103
M01D20,2040,1,20,RNW,ELE_WIN,19.3936,34.76986667,0,39.936675,37.72941667,19.3936,45.6123,19.3936,45.404975,38.26366635,40.91155385,44.60782105,20.02595556,40.76762692,44.06748228,41.724975,0,39.19670741,32.14965,33.1932,43.29125385,45.43544706,0,0,0,0,0,0,41.4574,35.54743969,37.63217248,35.49069405,37.93817692,34.44044074,41.94213333,0,41.7473,0,0,43.28503529,0,0,38.68717,41.94213333,33.27870642,36.67443542,40.11090078,41.85845455,40.95088279,33.293725,37.6939137,34.05876038,39.51549625,43.709728,36.7831683,19.3936,0,25.5511619,26.4919343,25.35789004,26.2934,19.2719,40.42053289,0,38.01515061,39.72826667,36.09005225,43.4032775,35.32305167,32.87984545,41.18473571,22.50686667,43.0090875,0,40.04372,41.4574,45.518,42.1845,0,34.45695,44.5326,36.70325161,43.04653333,0,39.39135,42.94004412,0,39.85502953,30.37444108,37.12737568
