TimeSlice,Yr,Month,Day,time,Attribute,PSET_PN,AFE_ETH,AFE_KEN,AFN_DZA,AFN_EGY,AFN_MAR,AFN_TUN,AFO,AFW_NGA,AFW_SEN,ANZ_AUS,ANZ_NZL,ARG_ARG,ASA_PHL,ASA_THA,ASA_VNM,ASC_KAZ,ASE_MNG,ASE_TWN,ASO,ASS_BGD,ASS_LKA,ASS_PAK,ASW_AZE,ASW_CYP,ASW_GEO,ASW_ISR,ASW_JOR,ASW_KWT,ASW_OMN,BRA_BRA,CAN_CAN,CHN_CHN,ENE_UKR,ENN_NOR,ENS_BIH,ENS_MKD,ENS_MNE,ENS_SRB,ENW_CHE,EUE_BGR,EUE_CZE,EUE_HUN,EUE_LTU,EUE_LVA,EUE_POL,EUE_ROU,EUN_DNK,EUN_EST,EUN_FIN,EUN_IRL,EUN_SWE,EUS_ESP,EUS_GRC,EUS_HRV,EUS_ITA,EUS_PRT,EUW_AUT,EUW_BEL,EUW_DEU,EUW_FRA,EUW_LUX,EUW_NLD,GBR_GBR,IDN_IDN,IND_IND,IRN_IRN,JPN_JPN,KOR_KOR,MEX_MEX,RUS_RUS,SAC_CRI,SAC_CUW,SAC_DOM,SAC_GTM,SAC_HND,SAC_JAM,SAC_NIC,SAC_PAN,SAC_SLV,SAO,SAS_BOL,SAS_CHL,SAS_COL,SAS_ECU,SAS_PER,SAS_URY,SAU_SAU,TUR_TUR,USA_USA,ZAF_ZAF
M01D01,2090,01,01,2090-01-01,RNW,ELE_WIN,37.9232,37.4822375,44.8366,36.05708461538462,28.351472727272725,0.0,44.8366,43.6877,43.6877,39.252913333333325,43.71540769230769,39.560805263157896,24.59283333333333,22.450252380952374,38.46561014492753,29.04096,0.0,38.77274074074074,42.7415,37.9232,42.76587692307693,26.34924705882353,0.0,22.15352,0.0,0.0,0.0,43.6877,37.9232,43.3684275,41.41522903225806,33.115584360902254,34.99726666666667,41.74664461538462,19.3936,0.0,33.1932,0.0,19.3936,41.83697058823529,37.9232,0.0,43.89681,45.54943333333333,40.40949955156951,37.265114,40.152721875,45.10367272727273,45.39794344262295,44.7000032,44.680114090909086,38.21048755832037,37.59999432624114,30.356885714285717,32.12466111111111,36.07224512820513,19.3936,41.5602414893617,39.28660935828877,42.55814865092748,43.4027,42.23932739726027,43.50453370786517,0.0,36.05392583979328,24.49625,38.7529609090909,37.74091935483871,41.150428125000005,37.48688125,41.84408571428571,28.98463333333333,42.5113625,37.9232,42.79558,44.9057,45.2113,43.87918333333334,33.1932,39.73641666666666,35.94793333333333,36.47893488372093,41.4374,0.0,19.3936,39.10636470588235,0.0,35.88277795918367,38.2901189245088,36.56684324324324
M01D02,2090,01,02,2090-01-02,RNW,ELE_WIN,37.9232,39.4303,43.8555,40.57920000000001,38.31045,31.74666666666667,37.9232,43.6877,40.57385,40.36111,40.76703846153846,43.86723392857143,25.946122222222225,34.36978,34.832818333333336,31.90338,19.3936,41.13782592592592,32.1151,37.9232,44.12577692307692,33.1932,0.0,30.43328,0.0,19.3936,35.858774999999994,42.1845,37.9232,41.864707307171855,41.86827108433735,34.47498582755203,30.24281111111111,38.963521875,0.0,0.0,0.0,0.0,35.70153333333334,39.96085294117647,42.48907142857143,41.3859,44.70089,39.35906666666667,44.84627410714285,30.30111428571428,31.01139921875,41.48580909090909,43.77215,43.6966568,44.71288636363636,38.1721018442623,36.13143587786259,0.0,26.7664,38.56712713178295,43.19658495575221,41.43338297872341,44.39809578344613,44.0869826745164,45.18255714285714,41.78182808219178,41.66846741573034,0.0,33.28411282798834,0.0,36.99888020833333,32.98011666666666,39.20993220338983,22.98573333333333,40.39720714285714,45.0326,43.4089125,41.4574,40.04372,43.8555,45.2113,43.8555,37.9232,40.47872,33.1932,39.23486842105264,46.45906666666667,0.0,22.8435,39.41424705882353,43.6877,39.01159336099586,38.85964004282656,40.972745945945945
M01D03,2090,01,03,2090-01-03,RNW,ELE_WIN,19.3936,28.15835714285714,43.8555,43.34921538461538,34.9768,19.3936,37.9232,43.6877,36.7407,44.116453703703705,38.71125833333333,42.47272786885245,21.098377777777777,23.09952,31.541368421052635,31.623616666666663,0.0,39.95320476190476,35.9324,37.9232,42.37942307692308,29.429672727272724,42.1845,35.82806,0.0,0.0,37.400666666666666,44.9057,19.3936,42.732729857142864,40.61975974025974,35.50279532535527,23.47058333333333,34.80152698412699,0.0,0.0,0.0,19.3936,35.70153333333334,23.993466666666663,41.05638571428572,19.3936,44.71246,38.4675,43.17966741071428,31.669427272727276,36.820845312500005,37.882763636363634,32.15963278688525,44.467192,43.38256863636364,34.11042529510961,32.647546938775506,33.1932,30.024614634146342,30.646319444444444,22.640564705882355,25.81768611111111,34.62491597038604,33.95488201342282,19.3936,36.8818645390071,43.631060898876406,33.1932,34.43750746268657,29.74405,37.61780708661417,34.59229411764706,40.9046875,37.918675,43.18636428571428,46.63,40.60615,26.7482,42.79558,43.8555,41.1422,42.1845,37.9232,39.86152,44.859633333333335,41.05491578947368,45.654500000000006,0.0,33.1932,33.3097129032258,42.1845,30.995792777777776,37.67769234642498,40.45638648648649
M01D04,2090,01,04,2090-01-04,RNW,ELE_WIN,19.3936,19.3936,44.9057,42.90797692307693,42.49486666666667,0.0,43.8555,43.6877,37.9232,43.57211320754717,38.117176923076926,43.5035262295082,23.510811111111117,33.1932,35.5582,36.33225714285714,41.4574,36.32537037037037,41.1155,37.9232,42.65435384615385,0.0,19.3936,42.1845,0.0,0.0,37.18264444444444,44.8366,37.9232,41.70250924855491,36.20930675675675,33.701234273403834,30.773642857142853,41.5556737704918,0.0,0.0,0.0,28.4591,19.3936,37.94095,43.89977142857144,28.210654545454545,43.834765,43.63803333333334,43.43722142857143,23.18555294117647,29.888964843750003,40.34942727272728,44.99931229508197,44.1411216,43.70659363636364,36.703364571428565,40.131894736842106,19.3936,19.3936,22.377739130434783,28.49134716981132,41.14464787234043,43.35491592920354,43.800385288461534,44.8712,41.19781780821918,43.04373258426966,41.4574,31.351770738636365,26.5096,40.31521956521739,43.2209125,41.86692931034483,35.23465789473684,43.67567142857143,40.2559,35.8505,26.7482,43.48492,33.1932,38.4675,43.6877,37.9232,40.1779,19.3936,38.95176153846154,45.292966666666665,0.0,36.7407,38.01322647058824,43.6877,32.653636842105264,34.486691108404386,36.81015833333333
M01D05,2090,01,05,2090-01-05,RNW,ELE_WIN,19.3936,28.593333333333334,44.4439,39.981661538461545,42.130025,0.0,44.9057,42.1845,44.100775,43.18885140186916,38.06615,44.96264736842106,29.06243333333333,22.15352,37.68924583333333,42.4833625,37.9232,37.79470666666667,37.3253,33.1932,43.98944615384615,19.3936,0.0,0.0,0.0,0.0,19.3936,44.8366,43.6877,42.21645555555556,41.32506935483871,36.91103808869027,36.54313571428572,39.50463035714286,0.0,0.0,0.0,22.8435,19.3936,42.64327647058823,45.17574285714286,25.66614545454545,40.69851,33.89723333333333,43.51387142857143,40.03184615384615,26.995953125,40.98810909090909,43.59832131147541,35.6206248,39.16892159624414,38.719462121212125,39.56688181818182,0.0,0.0,29.8246,39.55327477477477,38.090459574468085,43.77447881311817,43.45006641074856,45.2095,34.83559726027397,28.486324719101127,41.4574,30.72444568764569,40.8639,39.51920144927536,40.14016,39.94954411764706,41.46825925925926,43.37885,42.6189,30.9258,26.7482,42.79558,0.0,38.4675,44.89418333333333,37.9232,40.1779,0.0,31.119420512820515,46.63,0.0,36.7407,42.23225,37.9232,35.36866078431372,35.72638163017032,37.74478611111111
M01D06,2090,01,06,2090-01-06,RNW,ELE_WIN,33.1932,26.2934,41.1422,40.03759230769231,30.72148333333333,0.0,45.2113,37.9232,45.5714,37.973757142857146,39.54649166666667,44.079850877192975,29.520055555555555,33.1932,37.96296153846154,45.13742857142857,0.0,43.4219,31.54065,33.1932,44.11537692307692,19.3936,41.4574,0.0,0.0,0.0,0.0,43.6877,44.9057,43.21979038718291,39.92417297297297,33.45519903288201,40.03862307692308,31.259518461538462,19.3936,0.0,0.0,33.18015,43.6877,42.96099411764706,45.5602,43.3235,41.741005,31.744,42.52931875,35.165298684210526,11.80831171875,42.27685454545455,43.93483196721312,43.9694168,35.47931681818182,30.81977627118644,38.478996,26.7482,29.380372307692305,27.033362500000003,42.67657982456141,40.4192159574468,42.42724737116086,43.911789282700425,44.145100000000006,40.294517808219176,37.812348539325846,41.4574,31.323472983870968,23.475720000000003,40.5365375,43.3263675,39.936998360655735,40.98749259259259,41.65448571428571,36.5736,25.1597,33.1932,38.15172,33.1932,44.4439,44.89418333333333,33.1932,40.3665,0.0,27.2147243902439,35.3232,0.0,24.026,41.50633823529412,0.0,33.317949315068496,40.56972877461707,40.79669166666667
M01D07,2090,01,07,2090-01-07,RNW,ELE_WIN,28.21912,27.4759,43.2351,42.62981538461538,37.70045833333333,44.18253333333333,43.2351,37.9232,45.581625,29.59663888888889,43.357425,43.96171228070176,41.0855,0.0,19.3936,43.5879,33.1932,32.21427407407408,19.3936,19.3936,43.75413846153846,0.0,0.0,0.0,0.0,0.0,23.993466666666663,41.4574,43.8555,43.391282439678285,41.75114463276836,34.96278033564393,40.502178571428566,41.72289682539682,38.702666666666666,0.0,31.54065,37.13486666666667,33.1932,43.931994117647065,45.50875714285714,39.26962727272727,35.673655000000004,24.3197,38.47699955156951,40.26616981132075,22.08623203125,39.46047272727273,38.19152704918032,41.8076432,42.82151590909091,32.96219191919192,34.182435789473686,42.1333652173913,39.02547547770701,36.33164666666666,43.1333027027027,41.01504361702128,41.56200088495576,42.61778104906937,45.4135,38.44982739726028,42.82010988764045,30.4255,28.781453649635036,0.0,37.03083052631579,38.61766129032258,38.95056,43.772333333333336,38.51915714285714,32.72286666666667,24.026,0.0,36.0312,19.3936,45.6123,43.6877,0.0,37.22166,23.993466666666663,33.29717368421053,31.422700000000003,0.0,25.091325,41.91423235294118,0.0,39.32585227272728,41.5415266802444,40.82279722222222
M01D08,2090,01,08,2090-01-08,RNW,ELE_WIN,28.50996,40.132075,45.2113,26.697146153846155,43.69884166666666,45.59866666666667,43.2351,37.9232,45.581625,37.72241276595744,25.8402,40.720473684210525,42.41934444444445,0.0,37.9232,41.9904875,26.2934,38.44977037037037,40.3014,0.0,40.7388923076923,19.3936,19.3936,0.0,0.0,37.9232,43.80706666666666,43.6877,44.8366,43.15140519835841,38.93988620689655,37.16569352796342,34.19607692307692,42.24699076923077,43.2985,0.0,43.5144,37.5246,0.0,41.57746470588236,42.191500000000005,44.32962727272727,44.62819,45.6123,44.146220535714285,40.473340740740746,40.8132828125,45.306236363636366,44.51657295081967,44.478156000000006,44.45958818181818,36.68318616352201,35.50982826086956,43.97502399999999,42.967179076923074,25.4259606060606,43.83971304347826,40.675002127659575,40.51969170603674,36.38767243172952,38.294171428571424,42.49136849315068,41.935308314606736,38.44045,27.538085310734463,0.0,34.328710869565214,37.30238,42.2155625,43.8505,41.86382857142858,39.0744,29.392475,19.3936,40.47998,43.6877,43.2351,44.67308333333333,19.3936,41.7212,42.1845,32.8505875,43.046533333333336,0.0,22.8435,41.80316176470588,41.4574,36.55964246031745,39.6431924774323,41.90598648648648
M01D09,2090,01,09,2090-01-09,RNW,ELE_WIN,33.1932,27.326425,44.4439,34.92412,30.22860833333333,44.0275,41.1422,41.4574,45.51205,42.59335471698113,40.21297692307692,35.94879649122807,21.482455555555557,26.136535,38.3797225,40.261875,19.3936,38.33182962962963,44.4997,19.3936,33.40310769230769,44.363523529411765,0.0,38.77546,0.0,42.1845,43.95848888888889,37.9232,44.8366,43.43506840659341,42.01773422459893,37.07866879969709,36.10165,41.83459692307692,43.79956666666666,37.9232,43.85125,23.993466666666663,0.0,43.36868823529412,42.541085714285714,0.0,42.053395,28.2126,43.64364618834081,43.17865319148936,33.39554453125,36.55222727272727,44.260649180327874,43.2645392,44.22019045454545,43.90974827586207,32.97234999999999,43.48497999999999,42.572374375,24.7345,22.72906923076923,41.26231063829787,43.656535788923726,40.79720707456978,44.24777142857143,42.28793424657534,38.411315955056175,38.44045,32.252507264957266,22.4251,37.70207301587301,40.85507,38.372694117647065,40.74273703703704,41.57242142857143,40.2559,30.1655,0.0,36.0312,42.1845,45.2113,43.8555,0.0,42.54482,43.8555,36.09352195121952,43.046533333333336,0.0,33.290800000000004,44.13938823529412,43.8555,35.97911764705882,41.44806126609442,43.07362972972973
M01D10,2090,01,10,2090-01-10,RNW,ELE_WIN,26.80544,26.3422,44.9057,41.53011,30.169727272727275,44.55563333333333,43.2351,43.6877,45.581625,41.89338679245284,43.93408461538461,35.65542807017544,20.108822222222223,38.18260769230769,43.73841139240506,35.60578181818182,35.94793333333333,38.3655925925926,44.45363333333333,0.0,41.54156923076923,34.86261176470588,0.0,37.68404,0.0,35.5582,32.408874999999995,0.0,42.1845,43.23082132253711,43.088816666666666,37.03113663326653,30.404025,41.30792461538461,19.3936,33.1932,37.9232,0.0,0.0,36.99613333333333,45.189057142857145,28.01835,28.347095000000003,15.904333333333334,35.26626517857143,33.1932,11.18689921875,32.16105454545455,44.79641721311475,44.4653016,35.378113181818186,37.45639552238806,39.56475403726708,27.76674285714285,33.8901152892562,45.9747,34.46851981132075,37.62470319148936,40.023974544508064,43.319315332031245,43.88095714285714,36.54807328767124,39.794812584269664,38.52435,31.907905314009664,48.5346,39.53097348484848,41.9037475,37.09754603174603,25.84892,38.51915714285714,40.2559,39.3057375,0.0,33.1932,0.0,45.6123,41.57858333333333,0.0,38.80288333333333,43.8555,40.20955238095238,41.4374,0.0,33.1932,30.716317647058823,44.9057,37.04353896713615,38.00608788209608,42.21352162162162
